onset	trial_type	obj_pair	reaction_time
26	catch	1	430.01769995316863
108	catch	15	457.60879991576076
122	catch	10	466.05419972911477
134	catch	2	491.28299998119473
176	catch	14	428.3654000610113
182	catch	1	485.09189998731017
216	catch	14	414.28190004080534
218	catch	12	574.696300085634
256	catch	16	432.4708003550768
280	catch	5	441.64610002189875
292	catch	15	410.3572997264564
330	catch	7	523.4995000064373
336	catch	2	459.66670010238886
338	catch	12	443.6808000318706
350	catch	3	556.3072003424168
358	catch	8	404.34050001204014
