onset	trial_type	obj_pair	reaction_time
18	catch	3	490.76377624260203
44	catch	11	528.7515535019338
48	catch	14	520.333972212029
80	catch	1	469.23586675802653
118	catch	11	563.503138240776
128	catch	11	594.2889145226218
134	catch	6	545.7937752835278
154	catch	9	599.4685182977264
166	catch	13	518.6636649032152
168	catch	15	550.1826271083701
180	catch	1	582.2152210821514
196	catch	3	526.6506166044564
198	catch	7	789.3168161954236
236	catch	11	537.1120150120987
290	catch	7	557.8750549429969
318	catch	4	635.5173467854911
