onset	trial_type	obj_pair	reaction_time
48	catch	2	577.1144000173081
76	catch	11	447.6982000051066
92	catch	12	510.28740001493134
126	catch	6	468.4721000085119
132	catch	14	468.6631000076886
136	catch	13	596.2409999920055
172	catch	2	497.6823999895714
180	catch	8	457.2700000135228
200	catch	3	456.47059998009354
212	catch	6	511.5141000133008
218	catch	15	447.5500000116881
240	catch	10	446.63850002689287
278	catch	7	428.8805000251159
294	catch	8	531.9483999919612
296	catch	5	500.03060000017285
298	catch	13	371.6442000004463
