onset	trial_type	obj_pair	reaction_time
18	catch	6	690.7426645684609
52	catch	3	720.7939295931283
76	catch	9	758.5626158015657
120	catch	2	858.7288879843982
148	catch	7	753.0398446342588
156	catch	12	831.4363310510089
238	catch	12	0.0
240	catch	4	1513.132200218024
280	catch	14	572.4604891602212
284	catch	6	797.5531303436583
300	catch	5	876.6609368358331
304	catch	13	693.1907837206381
316	catch	4	643.4135509607586
330	catch	5	810.4617600765778
334	catch	14	659.1045399545692
354	catch	7	720.6435438547487
