onset	trial_type	obj_pair	reaction_time
26	catch	1	611.5852000657469
108	catch	15	687.0122998952866
122	catch	10	622.2933998797089
134	catch	2	613.9557000715286
176	catch	14	595.9163999650627
182	catch	1	635.5965998955071
216	catch	14	554.1174998506904
218	catch	12	530.3535000421107
256	catch	16	727.8331001289189
280	catch	5	662.6214999705553
292	catch	15	605.999399907887
330	catch	7	667.0782000292093
336	catch	2	619.8809999041259
338	catch	12	595.1717998832464
350	catch	3	554.8473000526428
358	catch	8	578.3421001397073
