onset	trial_type	obj_pair	reaction_time
48	catch	2	540.0038999505341
76	catch	11	517.8167000412941
92	catch	12	494.44050004240125
126	catch	6	520.0862999772653
132	catch	14	472.2162000834942
136	catch	13	472.9528999887407
172	catch	2	546.2065999163315
180	catch	8	459.0771999210119
200	catch	3	442.86640000063926
212	catch	6	451.9515000283718
218	catch	15	420.20299995783716
240	catch	10	437.3144001001492
278	catch	7	471.27729991916567
294	catch	8	448.0101000517607
296	catch	5	472.1951999235898
298	catch	13	423.8421000773087
