onset	trial_type	obj_pair	reaction_time
40	catch	2	528.2717999070883
58	catch	9	449.44959972053766
72	catch	14	513.0135002546012
120	catch	10	467.79589960351586
162	catch	13	413.8231002725661
170	catch	16	590.1997000910342
188	catch	11	447.20169994980097
208	catch	11	432.2345000691712
236	catch	15	592.6270000636578
242	catch	15	401.17460023611784
246	catch	1	585.3013996966183
302	catch	12	459.78489983826876
312	catch	5	500.58160023763776
322	catch	8	485.13570008799434
330	catch	2	772.8953999467194
336	catch	6	549.6584000065923
